"id","code","market_cap"
481,"MEI","510166638.00"
482,"MVF","506525292.00"
483,"IGB","504832647.00"
484,"MHHT","503454072.00"
485,"AFG","499977877.00"
486,"MDX","498264670.00"
487,"DLI","494544817.00"
488,"GCI","493618704.00"
489,"GL1","491009146.00"
490,"IJP","490350486.00"
491,"JMS","489747758.00"
492,"SKO","487169568.00"
493,"SSR","486910993.00"
494,"GTK","484554486.00"
495,"F100","482330725.00"
496,"FGG","481496538.00"
497,"PGG","481479717.00"
498,"PWR","481377641.00"
499,"PIC","480553192.00"
500,"QAU","479688141.00"
501,"HLO","477466872.00"
502,"STA","476097693.00"
503,"IJR","476025045.00"
504,"FGX","473912271.00"
505,"PE1","468853883.00"
506,"NWE","465640822.00"
507,"PDI","465354920.00"
508,"CGFPB","463082000.00"
509,"AIS","462933549.00"
510,"COE","460517971.00"
511,"LIN","460011090.00"
512,"PGH","457905770.00"
513,"XALG","451142350.00"
514,"EML","450650875.00"
515,"QOZ","450328938.00"
516,"KCN","444854111.00"
517,"BBOZ","442719537.00"
518,"ZIP","442097872.00"
519,"WGO","440799606.00"
520,"BLX","437962764.00"
521,"SGLLV","437179046.00"
522,"CWP","435853728.00"
523,"RDY","434402449.00"
524,"IPD","434038035.00"
525,"DJRE","430295964.00"
526,"GEAR","429746245.00"
527,"IPG","428605997.00"
528,"PPS","427790554.00"
529,"IVE","424896862.00"
530,"BMN","424440061.00"
531,"RMC","423711569.00"
532,"RG8","423320194.00"
533,"LYL","420848993.00"
534,"YMAX","420539239.00"
535,"SMP","419381535.00"
536,"PCI","419011437.00"
537,"LAU","418698743.00"
538,"SYI","416871483.00"
539,"AKP","415659723.00"
540,"GDI","414642043.00"
541,"SUNPI","414315000.00"
542,"UNI","413525166.00"
543,"MYS","412206758.00"
544,"ADH","411429399.00"
545,"VGL","411062893.00"
546,"BOQPG","410280000.00"
547,"ALI","410113425.00"
548,"PMC","409684138.00"
549,"CGFPC","407715000.00"
550,"C79","407425398.00"
551,"OPT","406428708.00"
552,"MYX","403252125.00"
553,"SST","403107081.00"
554,"IGL","403054474.00"
555,"AASF","402824395.00"
556,"PLL","402484470.00"
557,"SVR","401754693.00"
558,"CTM","401479897.00"
559,"PAR","401310730.00"
560,"REP","401234752.00"
561,"VETH","400059085.00"
562,"PNR","399842594.00"
563,"EHL","399632014.00"
564,"SUNPH","398725000.00"
565,"MHJ","398673328.00"
566,"DDH","398013971.00"
567,"SRG","394797715.00"
568,"A11","393732079.00"
569,"MVR","391940729.00"
570,"QLTY","391420848.00"
571,"FSF","388827762.00"
572,"HETH","387613615.00"
573,"AVR","386976694.00"
574,"AFP","386956499.00"
575,"SUNPG","386250000.00"
576,"IMM","385874518.00"
577,"NMT","381391411.00"
578,"DXC","380208114.00"
579,"AVH","378280594.00"
580,"RUL","377667089.00"
581,"IZZ","376814328.00"
582,"LOT","376314972.00"
583,"ARX","375704867.00"
584,"MAY","370722451.00"
585,"AGI","370473322.00"
586,"WDIV","370309521.00"
587,"NXD","368552979.00"
588,"GNG","368373335.00"
589,"GLN","368298486.00"
590,"MAH","366347589.00"
591,"NGI","365538014.00"
592,"CGFPD","365050000.00"
593,"SVL","365045107.00"
594,"VBLD","364310125.00"
595,"HAS","364283409.00"
596,"SPR","364212314.00"
597,"SKT","362209640.00"
598,"BOQPE","361375000.00"
599,"CVW","360266063.00"
600,"VAE","359828428.00"
601,"BVS","358683202.00"
602,"HT1","355442692.00"
603,"FANG","354985285.00"
